index,time,dTLB-load-misses,L1-icache-load-misses,instructions:u,cache-misses:u,branch-misses:u,iTLB-load-misses,L1-dcache-load-misses,LLC-load-misses,dTLB-store-misses,cpu-cycles:u,branch-load-misses,LLC-store-misses,cpi
210,42.263113516,16799,367175,479780848,1284653,1338,168,41114537,951428,6117,317460880,1349,318481,0.661678933878578
211,42.46333307,16892,408251,479615279,1263384,1350,259,41028152,972192,6115,317449035,1365,313722,0.66188265657817
212,42.663613324,68456,102668,431302222,3514924,3609,1956,55965585,3606701,15,316893627,3867,5815,0.734736829155496
213,42.863866523,70205,186779,425860667,3678361,3859,1875,54545554,3608302,21,316921745,3936,4450,0.744191162880981
214,43.064085108,70549,58111,424532058,3798957,3853,1868,57860702,3790112,21,316722791,3832,3441,0.746051529046129
215,43.26430491,103420,19662,379890220,1978575,16543,1775,38340938,1751135,15468,316265378,13188,97524,0.832517820542998
216,43.464601699,42797,16788,388673659,2846249,7319,979,45660878,2622053,8918,316096108,6379,195051,0.81326866557736
217,43.66490729,136136,91829,323070034,2551144,7625,1442,39477117,2637555,45917,316381095,9867,263532,0.97929569970578
218,43.865212108,16851,1328183,458048053,1204102,2192,1176,39288213,948838,6146,317361060,2169,314921,0.692855384760253
219,44.065458028,16476,457599,478922971,1271083,1977,833,40897221,964086,6267,317482955,1921,316770,0.662910267881053
220,44.265686062,16361,339079,480506181,1289152,2455,1366,41067478,964272,5897,317621992,2455,315014,0.661015413660204
221,44.465900845,16705,630731,474599217,1287615,2858,1249,40300300,948923,5938,317303378,2772,315443,0.668571221009832
222,44.666176607,13398,2543426,375309735,1055503,2284,979,33668467,792094,4913,317045621,2299,258257,0.844757253632123
223,44.866472357,57060,369999,351157712,2638855,3638,1261,44215013,2540512,228,315560425,3607,44205,0.898628776234879
224,45.066741263,62973,243990,381619313,3269323,3756,1705,51087366,3368993,75,316225900,3774,6382,0.828642286246136
225,45.266970096,62973,125203,385804806,3583253,3765,1770,54834631,3557985,46,316309862,3699,3747,0.819870196225601
226,45.46728695,116534,50592,468026932,3261515,3087,2149,50053467,3338314,84,316654547,3494,6022,0.676573345142454
227,45.667636863,56241,9867,338892251,1309593,19545,1719,38838651,1305475,20583,316691189,17016,193625,0.934489319438585
228,45.867890594,36334,13380,420752709,3259625,4992,262,48102078,2972357,3720,316598093,4708,214572,0.752456457743211
229,46.068128401,17343,295550,456377132,2116980,5553,1342,34816057,1453609,98006,317444980,2634,327852,0.695576000070047
230,46.26842233,16595,844038,478918168,1224757,1323,413,39286978,933344,6106,317383575,1351,315423,0.662709406756104
231,46.468667942,16620,392719,476637588,1289737,1396,407,41150133,960184,5869,317485773,1348,315254,0.666094703802504
232,46.668933022,16384,353554,480650840,1278368,1329,160,41183360,951986,5941,317675988,1321,316479,0.660928810610213
233,46.869170062,17548,827054,461422396,1224387,1340,305,40277968,936038,5857,317502460,1372,300168,0.688095035595108
234,47.069423966,56017,159982,449879610,2817835,4154,1411,52777925,3097669,1727,316931078,3080,80459,0.704479756261903
