index,time,dTLB-load-misses,cache-misses:u,branch-load-misses,L1-icache-load-misses,branch-misses:u,L1-dcache-load-misses,dTLB-store-misses,iTLB-load-misses,LLC-store-misses,instructions:u,cpu-cycles:u,LLC-load-misses,cpi
189,38.036874548,132356,345675,5441914,250884,5380142,2009903,441,1827,327,872863969,515788262,349597,0.590914827875087
190,38.237075463,132625,389489,5398140,256630,5508464,2122152,449,2074,160,857333644,514424769,361400,0.600028673317759
191,38.437273971,154194,400469,5405306,239728,5334844,2217560,421,2199,151,852362458,514695121,404503,0.603845366685542
192,38.63749007,151952,428106,5254701,235558,5284976,2234364,396,1780,400,846208992,514237028,419247,0.60769506453082
193,38.837708518,148224,378725,5227633,241554,5101257,2133149,372,1742,128,867465215,513577618,378952,0.592044048705746
194,39.037912925,149928,392564,5398422,249967,5379249,2210377,437,2124,203,854555772,516317632,403175,0.604194189446069
195,39.238146492,155665,402226,5586847,271426,5564327,2140926,519,1840,436,830819981,514864877,394899,0.6197069025474
196,39.438345807,144486,405273,5407375,247592,5465373,2212707,404,2542,210,844810181,513522374,404146,0.60785533312601
197,39.638547146,142225,376640,5389147,258156,5397682,2120227,465,2099,693,854689249,514474877,376538,0.601943779685943
198,39.838763901,130481,342489,5424221,256740,5383275,2008957,363,2164,375,856899186,508442434,356056,0.593351519416661
199,40.038967239,128373,364339,5435885,254471,5375541,2119366,375,1879,156,869561212,515033219,364279,0.592290930060482
200,40.239173351,135397,352661,5446558,257836,5270675,2083869,381,2127,459,856262378,514236890,369291,0.600559948927243
201,40.439396464,121589,330099,5090204,234773,5121862,2037111,384,2111,321,896884472,515705831,352142,0.574996944534011
202,40.639586389,129246,325064,5122153,229303,5027816,2016477,387,2373,377,889190481,514953191,329597,0.579125847614646
203,40.839799068,141778,364892,5163231,234172,5242879,2202266,396,2143,71,872369714,515496334,353757,0.590914982176926
204,41.040017774,131234,369116,5123780,227856,5115479,2124274,338,1683,153,861497470,510194691,365102,0.592218443775581
205,41.240218672,125246,397003,4414659,199312,4481135,1888939,412,2230,1607,775823193,456805413,407318,0.588800924130145
206,41.44042325,127261,377445,4738983,233428,4875521,1977691,365,2339,606,827114478,492288995,379035,0.595188463137989
207,41.640629217,142912,376034,4894617,544150,4697478,2200094,334,2131,346,841333121,513492140,401627,0.61033154072155
208,41.840831637,145244,413004,5181036,213144,4992450,2034418,351,1760,292,868526029,514159501,412624,0.59199089472539
209,42.041050081,150956,397319,5302957,212601,5027024,2145284,418,1865,128,860478211,515034997,353580,0.598545076930484
210,42.241275033,140072,460037,4646339,187311,4577326,1911517,427,1820,1098,741773137,456853886,437172,0.615894352615253
211,42.44148395,127773,432977,4126541,357656,4320880,2026038,641,1516,1998,713872595,456251059,420800,0.639121129170115
212,42.641691944,143250,425001,5046353,303223,5047717,2129833,603,1886,444,798649491,512928193,449274,0.642244437366078
213,42.841908255,145000,398403,5242212,228399,5350558,2175048,340,1887,58,862312887,515577308,413691,0.597900501978698
214,43.042107369,153152,387655,5640668,225699,5380343,2227515,310,1896,79,852249685,515825192,386307,0.605251255681016
215,43.242306654,135607,366841,5343142,241390,5364701,2145427,421,1886,100,865018853,515197336,357492,0.59559087552049
216,43.44250706,139484,456830,5281370,185305,5346707,2055863,414,2180,991,789836661,484829851,438116,0.613835587710204
217,43.642721105,146382,436771,5047773,220399,5136631,2140626,1038,2211,356,818836701,514308643,437146,0.628096716197385
218,43.842928365,143128,412499,5469583,244401,5515095,2235626,391,2161,162,853906263,516331885,401256,0.604670450812702
219,44.043131783,142394,404114,5224824,245310,5352651,2243291,375,1736,69,863349241,515864475,392100,0.597515409178428
220,44.243353531,131460,390172,5356286,778252,5105075,2655236,525,1896,265,771426636,493705893,362709,0.639990726221178
221,44.443570902,119425,370510,5015917,230111,5007766,1881068,335,1934,381,763827000,457210816,357045,0.598579018547394
222,44.643772491,137740,417847,5606630,259139,5459912,2211865,376,2173,700,819861949,506675189,424380,0.618000615369454
223,44.843989637,149840,399031,6007077,243315,5916697,2240609,403,2361,103,835033469,513910569,411628,0.615437090941321
224,45.04418539,138551,401081,5575028,233010,5647853,2173881,331,1895,82,848249887,514341288,384499,0.606355857964293
225,45.244386374,152235,423874,5255631,228119,5176084,2103116,437,2064,504,794442499,491245487,434743,0.618352476885807
226,45.444611652,120776,395846,4667890,585072,4429804,2416211,246,2176,1103,746938772,457155174,400515,0.612038350581164
227,45.644817363,126416,365087,5242506,223801,5154635,1940692,326,2142,528,856468460,501541666,395311,0.585592686040067
228,45.845017546,130175,357682,5257671,225830,5326007,1937529,315,1854,84,880122123,512502896,364119,0.582308843973917
229,46.045232485,123587,362098,5331305,223784,5261219,1928420,359,2099,18,885350108,515697626,365411,0.582478752010272
230,46.24543277,141502,417555,5338502,246364,5442628,2250966,306,2110,246,855276332,514094735,405443,0.60108612358982
231,46.445630358,142352,402707,5530488,238300,5414058,2182646,386,2273,496,822573776,501045134,407068,0.609118778909383
232,46.645846647,150413,443417,5252715,244413,5220521,2155801,354,2383,761,819298695,501227539,450850,0.611776318037465
233,46.846046136,143726,417157,5399054,248588,5273125,2243664,394,1773,131,839412650,508044847,420673,0.605238492653166
234,47.046246052,146351,415392,5570675,217909,5602293,2375397,428,2005,200,854753872,514817170,418702,0.60229872816534
235,47.246461469,151332,411434,5652601,237565,5619919,2292671,381,1870,112,847408604,516245897,402457,0.609205399335313
236,47.446658345,142121,405530,5663362,225525,5711231,2312211,422,2098,296,842077971,515071113,395572,0.611666770463468
237,47.646857172,140790,356250,5022787,240043,4981896,2061067,313,1974,382,874751959,509540453,366459,0.582497069892244
238,47.847075485,135830,374613,4914041,240332,4950520,2077634,274,1930,73,895640384,514906944,376552,0.574903670265945
